eval_mult,rev_mult,tanf_enrolled,snap_enrolled,ssi_enrolled,tanf_pct_error,snap_pct_error,ssi_pct_error,mean_pct_error
0.05,0.05,2034,1545,619,0.674074074074074,0.8899337465270357,0.7838616714697406,0.7826231640236169
0.05,0.1,2094,1516,640,0.7234567901234568,0.8919997150388259,0.8443804034582133,0.8199456362068319
0.05,0.25,2054,1518,639,0.6905349794238683,0.891857234451806,0.8414985590778098,0.8079635909844947
0.05,0.5,2064,1501,636,0.6987654320987654,0.8930683194414761,0.8328530259365994,0.8082289258256136
0.05,1.0,2046,1547,643,0.6839506172839506,0.8897912659400157,0.8530259365994236,0.8089226066077967
0.1,0.05,2378,3181,622,0.9572016460905349,0.7733846263446605,0.792507204610951,0.8410311590153822
0.1,0.1,2348,3126,622,0.9325102880658436,0.7773028424877111,0.792507204610951,0.8341067783881685
0.1,0.25,2289,3060,672,0.8839506172839506,0.7820047018593717,0.9365994236311239,0.867518247591482
0.1,0.5,2343,3036,661,0.928395061728395,0.7837144689036118,0.9048991354466859,0.872336222026231
0.1,1.0,2317,3073,658,0.9069958847736626,0.7810785780437416,0.8962536023054755,0.8614426883742933
0.25,0.05,2312,7718,606,0.902880658436214,0.4501674146897485,0.7463976945244957,0.699815255883486
0.25,0.1,2316,7528,598,0.9061728395061729,0.46370307045665027,0.723342939481268,0.6977396164813637
0.25,0.25,2273,7324,649,0.8707818930041152,0.47823609033269215,0.8703170028818443,0.7397783287395505
0.25,0.5,2329,7339,660,0.9168724279835391,0.47716748593004205,0.9020172910662824,0.7653524016599546
0.25,1.0,2336,7234,676,0.922633744855967,0.484647716748593,0.9481268011527377,0.7851360875857659
0.5,0.05,2320,10073,613,0.9094650205761317,0.2823965234736767,0.7665706051873199,0.6528107164123761
0.5,0.1,2319,9949,688,0.908641975308642,0.29123031986891784,0.9827089337175793,0.7275270762983798
0.5,0.25,2289,9713,661,0.8839506172839506,0.30804302913728004,0.9048991354466859,0.6989642606226388
0.5,0.5,2316,9585,670,0.9061728395061729,0.31716178670656126,0.930835734870317,0.7180567870276837
0.5,1.0,2289,9566,680,0.8839506172839506,0.3185153522832514,0.9596541786743515,0.7207067160805178
1.0,0.05,2342,10101,630,0.9275720164609054,0.28040179525539644,0.8155619596541787,0.6745119237901601
1.0,0.1,2324,10024,633,0.9127572016460905,0.2858872978556672,0.8242074927953891,0.6742839974323823
1.0,0.25,2316,9830,669,0.9061728395061729,0.29970791479660897,0.9279538904899135,0.7112782149308985
1.0,0.5,2307,9825,697,0.8987654320987655,0.300064116264159,1.0086455331412103,0.7358250271680449
1.0,1.0,2342,9780,640,0.9275720164609054,0.3032699294721094,0.8443804034582133,0.6917407831304093
