county_name,total_county_population,median_household_income,aggregate_household_income,per_capita_income,median_family_income,poverty_status_total_population,income_below_poverty_level,poverty_white_alone_total,poverty_white_alone_below_poverty,poverty_black_alone_total,poverty_black_alone_below_poverty,poverty_hispanic_total,poverty_hispanic_below_poverty,poverty_ratio_total,poverty_ratio_under_50_pct,poverty_ratio_50_99_pct,poverty_children_under_18_total,poverty_children_under_18_below_poverty,snap_total_households,snap_received_past_12mo,public_assistance_total_households,public_assistance_received,ssi_total_households,ssi_received,health_insurance_total,health_insurance_no_coverage,medicaid_means_tested_total,medicaid_means_tested_coverage,education_total_25_plus,education_high_school_diploma,education_bachelors_degree,education_masters_degree,employment_pop_16_plus,employment_civilian_labor_force,employment_employed,employment_unemployed,disability_total_pop,disability_male_under_5_with_disability,disability_male_5_17_with_disability,disability_male_18_34_with_disability,disability_male_35_64_with_disability,disability_male_65_74_with_disability,disability_male_75_plus_with_disability,disability_female_under_5_with_disability,disability_female_5_17_with_disability,disability_female_18_34_with_disability,disability_female_35_64_with_disability,disability_female_65_74_with_disability,disability_female_75_plus_with_disability,rent_burden_total_renters,rent_burden_50_plus_pct,median_gross_rent,families_with_children_total,families_female_householder_with_children,total_population,white_alone,black_alone,asian_alone,total_population_ethnicity,hispanic_or_latino,total_households,average_household_size,total_households_composition,family_households,married_couple_family,householder_living_alone,total_population_gender,male_population,female_population,median_age,median_home_value,language_total_5_plus,language_speak_only_english,english_proficiency_total_5_plus,english_speak_not_well,nativity_total,foreign_born,vehicles_total_households,vehicles_none,mean_travel_time_to_work,veteran_total_18_plus,veteran_population,state_fips,county_fips,white_pct,black_pct,asian_pct,hispanic_pct,male_pct,female_pct,family_household_pct,snap_participation_rate,public_assistance_rate,ssi_rate,poverty_rate,uninsured_rate,medicaid_rate,child_poverty_rate,white_poverty_rate,black_poverty_rate,hispanic_poverty_rate,deep_poverty_rate,near_poverty_rate,hs_graduate_rate,bachelors_plus_rate,labor_force_participation_rate,unemployment_rate,employment_rate,disability_rate,rent_burden_severe_50_plus,single_parent_rate,veteran_rate,english_only_rate,limited_english_rate,foreign_born_rate,no_vehicle_rate,data_pulled_date,acs_year
"Polk County, Iowa",493378,78827,20257028700,41894,99161,484508,50072,386519,29413,34928,11433,43413,6785,484508,22864,27208,118556,15808,199013,20856,199013,4863,199013,7148,487798,463,487798,25141,328511,68607,87045,28694,386736,274014,261682,12332,487798,130,2750,4698,10080,4968,4512,148,1617,4607,10129,4283,6051,65569,12474,1060,111060,25394,493378,393717,35994,24325,493378,43942,199013,2.44,199013,121906,91042,60366,493378,245241,248137,36.1,232000,,,199013,2158,493378,47919,199013,2150,4454960.0,371607,22629,19,153,79.8,7.3,4.93,8.91,49.71,50.29,61.26,10.48,2.44,3.59,10.33,0.09,5.15,13.33,7.61,32.73,15.63,4.72,5.62,20.88,35.23,70.85,4.5,67.66,11.06,19.02,22.87,6.09,,1.08,9.71,1.08,2025-11-24 04:14:22,2022
"Pottawattamie County, Iowa",93543,68718,3193572900,34701,84320,91067,10317,82035,8742,1071,279,7778,1722,91067,4795,5522,21212,3230,37162,3975,37162,850,37162,2290,92357,110,92357,4968,63639,18265,10266,3477,74514,47502,45815,1687,92357,17,972,699,2675,1591,1405,0,313,644,2657,1344,1749,11294,2181,956,19243,5767,93543,83925,1446,837,93543,7933,37162,2.45,37162,23649,17156,11047,93543,46861,46682,39.7,169400,,,37162,494,93543,3818,37162,634,852585.0,71782,6375,19,155,89.72,1.55,0.89,8.48,50.1,49.9,63.64,10.7,2.29,6.16,11.33,0.12,5.38,15.23,10.66,26.05,22.14,5.27,6.06,28.7,21.6,63.75,3.55,61.49,15.23,19.31,29.97,8.88,,1.33,4.08,1.71,2025-11-24 04:14:22,2022
"Poweshiek County, Iowa",18608,61192,679477400,37527,90108,16978,1828,16108,1731,100,4,506,56,16978,827,1001,3664,254,7761,857,7761,187,7761,262,18317,3,18317,507,12160,4264,1983,976,15469,9661,9220,441,18317,0,78,160,363,305,312,0,68,139,390,149,353,2289,466,850,3481,347,18608,17179,220,414,18608,639,7761,2.19,7761,4435,3611,2835,18608,9129,9479,40.7,173600,,,7761,69,18608,593,7761,124,147535.0,14914,1089,19,157,92.32,1.18,2.22,3.43,49.06,50.94,57.14,11.04,2.41,3.38,10.77,0.02,2.77,6.93,10.75,4.0,11.07,4.87,5.9,35.07,24.33,62.45,4.56,59.6,12.65,20.36,9.97,7.3,,0.89,3.19,1.6,2025-11-24 04:14:22,2022
"Ringgold County, Iowa",4690,67898,157011000,34138,84615,4474,369,4254,361,0,0,134,8,4474,102,267,1089,134,1844,252,1844,44,1844,59,4464,25,4464,244,3213,1083,508,158,3704,2315,2276,39,4464,0,27,47,117,109,91,0,7,29,95,62,92,409,24,699,1066,193,4690,4459,6,4,4690,136,1844,2.42,1844,1200,1001,566,4690,2317,2373,43.8,143100,,,1844,0,4690,52,1844,41,,3553,240,19,159,95.07,0.13,0.09,2.9,49.4,50.6,65.08,13.67,2.39,3.2,8.25,0.56,5.47,12.3,8.49,,5.97,2.28,5.97,33.71,20.73,62.5,1.68,61.45,15.14,5.87,18.11,6.75,,0.0,1.11,2.22,2025-11-24 04:14:22,2022
"Sac County, Iowa",9778,68778,372357900,38596,87162,9574,831,9159,738,28,0,378,26,9574,340,491,2122,245,4210,356,4210,97,4210,146,9606,37,9606,681,6902,2160,1109,286,7836,5118,4955,163,9606,0,33,43,177,224,149,0,34,10,145,82,158,807,90,622,2058,412,9778,9359,32,74,9778,379,4210,2.28,4210,2728,2274,1315,9778,4938,4840,45.2,119500,,,4210,23,9778,262,4210,75,,7610,655,19,161,95.71,0.33,0.76,3.88,50.5,49.5,64.8,8.46,2.3,3.47,8.68,0.39,7.09,11.55,8.06,0.0,6.88,3.55,5.13,31.3,20.21,65.31,3.18,63.23,10.98,11.15,20.02,8.61,,0.55,2.68,1.78,2025-11-24 04:14:22,2022
"Scott County, Iowa",174315,72792,7021440000,40926,94696,170439,20277,139301,12212,11869,4524,12493,2603,170439,9862,10415,39642,6007,71436,7859,71436,1786,71436,3322,172559,331,172559,7211,118337,26106,26358,11137,138382,90903,87296,3607,172559,108,1339,1463,3906,1777,1649,62,635,1322,3629,1812,2668,22073,4303,919,36842,8298,174315,142560,12261,4930,174315,12668,71436,2.39,71436,44298,33394,21971,174315,86169,88146,38.7,198000,,,71436,173,174315,7567,71436,827,,133217,10416,19,163,81.78,7.03,2.83,7.27,49.43,50.57,62.01,11.0,2.5,4.65,11.9,0.19,4.18,15.15,8.77,38.12,20.84,5.79,6.11,22.06,31.68,65.69,3.97,63.08,11.8,19.49,22.52,7.82,,0.24,4.34,1.16,2025-11-24 04:14:22,2022
"Shelby County, Iowa",11737,70295,451133600,38664,90041,11507,1011,10858,983,108,0,381,115,11507,416,595,2540,139,4933,497,4933,109,4933,93,11526,19,11526,514,8325,2641,1360,350,9497,6114,5964,150,11526,0,54,32,214,99,196,0,49,140,112,75,190,1184,188,879,2483,235,11737,11080,108,0,11737,382,4933,2.33,4933,3148,2705,1474,11737,5704,6033,45.5,152900,,,4933,0,11737,219,4933,39,,9169,776,19,165,94.4,0.92,0.0,3.25,48.6,51.4,63.82,10.08,2.21,1.89,8.79,0.16,4.46,5.47,9.05,0.0,30.18,3.62,5.17,31.72,20.54,64.38,2.45,62.8,10.07,15.88,9.46,8.46,,0.0,1.87,0.79,2025-11-24 04:14:22,2022
"Sioux County, Iowa",35815,81914,1222312200,34914,95737,33547,2039,30324,1865,102,0,4035,434,33547,997,1042,9523,568,12462,393,12462,137,12462,410,35411,28,35411,1756,21356,5891,4767,1373,27216,19533,19081,452,35411,0,115,241,620,333,461,0,96,182,376,320,635,2592,442,795,9232,669,35815,32394,180,158,35815,4088,12462,2.69,12462,8916,8052,3120,35815,18140,17675,34.4,220700,,,12462,194,35815,2061,12462,134,,26136,1157,19,167,90.45,0.5,0.44,11.41,50.65,49.35,71.55,3.15,1.1,3.29,6.08,0.08,4.96,5.96,6.15,0.0,10.76,2.97,3.11,27.58,28.75,71.77,2.31,70.11,9.54,17.05,7.25,4.43,,1.56,5.75,1.08,2025-11-24 04:14:22,2022
"Story County, Iowa",98573,66197,3428048600,35704,109432,86383,16953,71809,12730,2052,516,3035,399,86383,9957,6996,15444,1276,38412,1905,38412,492,38412,858,97986,129,97986,2072,51740,7545,15589,6867,84617,56398,53259,3139,97986,35,223,1333,1177,706,949,0,106,1195,1309,501,1114,17017,5041,991,15027,2071,98573,82650,2333,7179,98573,3751,38412,2.25,38412,18783,15548,12572,98573,51726,46847,26.5,229100,,,38412,139,98573,8875,38412,576,828455.0,82683,3587,19,169,83.85,2.37,7.28,3.81,52.47,47.53,48.9,4.96,1.28,2.23,19.63,0.13,2.11,8.26,17.73,25.15,13.15,11.53,8.1,14.58,43.4,66.65,5.57,62.94,8.83,29.62,13.78,4.34,,0.36,9.0,1.5,2025-11-24 04:14:22,2022
"Tama County, Iowa",17017,65483,547939900,33046,78503,16578,2513,13769,1937,130,27,1942,577,16578,1051,1462,3924,867,6703,681,6703,99,6703,250,16654,48,16654,1273,11597,4296,1490,463,13422,8552,8165,387,16654,0,121,140,288,132,243,2,14,35,217,163,269,1639,246,829,3497,743,17017,14134,177,104,17017,1965,6703,2.48,6703,4597,3603,1735,17017,8627,8390,41.0,129400,,,6703,146,17017,895,6703,91,,12914,1032,19,171,83.06,1.04,0.61,11.55,50.7,49.3,68.58,10.16,1.48,3.73,15.16,0.29,7.64,22.09,14.07,20.77,29.71,6.34,8.82,37.04,16.84,63.72,4.53,60.83,9.75,15.01,21.25,7.99,,2.18,5.26,1.36,2025-11-24 04:14:22,2022
